period,ALL,FHB,OTH,INV,BUS
2014-08-31,4024,392,2403,1167,62
2014-09-30,4264,430,2541,1226,67
2014-10-31,4884,465,2918,1421,80
2014-11-30,5109,539,2996,1499,74
2014-12-31,5531,613,3173,1666,79
2015-01-31,3565,360,2011,1146,48
2015-02-28,4628,457,2692,1418,61
2015-03-31,6314,596,3560,2073,86
2015-04-30,5657,561,3193,1841,62
2015-05-31,6162,591,3520,1980,70
2015-06-30,5745,577,3229,1856,83
2015-07-31,6010,631,3310,2002,67
2015-08-31,5940,624,3251,1989,77
2015-09-30,6500,700,3490,2239,71
2015-10-31,5853,672,3385,1717,78
2015-11-30,6415,745,3654,1955,60
2015-12-31,6001,700,3444,1804,53
2016-01-31,4117,459,2338,1287,34
2016-02-29,5166,591,2855,1640,80
2016-03-31,6572,753,3589,2141,89
2016-04-30,6504,789,3464,2182,69
2016-05-31,7287,833,3881,2489,85
2016-06-30,6803,738,3623,2368,74
2016-07-31,6305,689,3457,2095,64
2016-08-31,6107,760,3524,1759,63
2016-09-30,5831,718,3511,1530,72
2016-10-31,5360,772,3268,1265,56
2016-11-30,6349,897,3880,1506,67
2016-12-31,5855,809,3617,1379,49
2017-01-31,3533,462,2184,844,42
2017-02-28,4379,591,2720,1024,43
2017-03-31,5985,819,3655,1425,87
2017-04-30,4558,630,2733,1147,47
2017-05-31,6036,850,3623,1497,66
2017-06-30,5097,713,3099,1219,66
2017-07-31,4802,699,2985,1062,56
2017-08-31,5105,740,3182,1125,58
2017-09-30,4567,658,2809,1048,51
2017-10-31,4605,722,2793,1045,45
2017-11-30,5294,778,3335,1132,49
2017-12-31,5092,767,3201,1063,60
2018-01-31,3696,564,2321,779,32
2018-02-28,4667,727,2856,1036,48
2018-03-31,5853,911,3501,1369,72
2018-04-30,5375,868,3182,1261,64
2018-05-31,6592,1116,3844,1561,71
2018-06-30,5305,803,3191,1253,58
2018-07-31,5523,910,3235,1320,58
2018-08-31,5402,833,3251,1246,72
2018-09-30,4777,821,2880,1014,61
2018-10-31,5527,920,3515,1031,61
2018-11-30,6224,1026,4042,1091,64
2018-12-31,5371,924,3445,949,53
2019-01-31,4051,700,2579,726,46
2019-02-28,4798,810,3057,886,46
2019-03-31,5769,999,3596,1096,78
2019-04-30,5452,964,3444,988,56
2019-05-31,6470,1150,4113,1140,68
2019-06-30,5441,926,3435,1024,56
2019-07-31,5910,1038,3702,1108,62
2019-08-31,5386,923,3387,1023,54
2019-09-30,5516,967,3413,1074,62
2019-10-31,6077,1102,3709,1196,70
2019-11-30,6796,1243,4119,1363,71
2019-12-31,6539,1209,3977,1298,55
2020-01-31,4714,889,2820,942,63
2020-02-29,5579,938,3461,1122,58
2020-03-31,6181,1137,3678,1307,58
2020-04-30,2749,484,1661,559,45
2020-05-31,4318,801,2592,889,36
2020-06-30,5364,1090,3191,1036,47
2020-07-31,6586,1344,3741,1443,58
2020-08-31,6785,1344,3937,1446,59
2020-09-30,7323,1396,4213,1653,61
2020-10-31,7782,1396,4422,1882,81
2020-11-30,9289,1605,5384,2226,73
2020-12-31,9652,1686,5452,2436,78
2021-01-31,6360,1029,3632,1629,69
2021-02-28,7601,1182,4527,1839,52
2021-03-31,10487,1775,6326,2284,103
2021-04-30,8486,1574,5186,1650,76
2021-05-31,8921,1757,5527,1540,98
2021-06-30,8526,1649,5373,1428,76
2021-07-31,8818,1605,5661,1466,86
2021-08-31,8170,1391,5323,1368,88
2021-09-30,6912,1173,4430,1232,77
2021-10-31,7695,1452,4864,1306,73
2021-11-30,9084,1739,5723,1527,95
2021-12-31,7907,1562,4954,1310,81
2022-01-31,4667,819,2986,811,52
2022-02-28,5706,954,3632,1057,64
2022-03-31,7273,1200,4707,1279,86
2022-04-30,5664,1046,3580,968,71
2022-05-31,6817,1242,4377,1129,70
2022-06-30,6056,1109,3824,1054,70
